,S. No.,Message_body,Label
0,1.0,Rofl. Its true to its name,Non-Spam
1,2.0,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Non-Spam
2,3.0,"Pity, * was in mood for that. So...any other suggestions?",Non-Spam
3,4.0,Will ü b going to esplanade fr home?,Non-Spam
6,7.0,Huh y lei...,Non-Spam
7,8.0,Why don't you wait 'til at least wednesday to see if you get your .,Non-Spam
8,9.0,Ard 6 like dat lor.,Non-Spam
9,10.0,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Non-Spam
10,11.0,Get me out of this dump heap. My mom decided to come to lowes. BORING.,Non-Spam
11,12.0,Anything lor. Juz both of us lor.,Non-Spam
12,13.0,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Non-Spam
13,14.0,"Sorry, I'll call later",Non-Spam
14,15.0,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Non-Spam
15,16.0,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam
16,17.0,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Non-Spam
17,18.0,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Non-Spam
18,19.0,Hahaha..use your brain dear,Non-Spam
19,20.0,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Non-Spam
20,21.0,Wen did you get so spiritual and deep. That's great,Non-Spam
21,22.0,"Cool, what time you think you can get here?",Non-Spam
22,23.0,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam
23,24.0,"No, I was trying it all weekend ;V",Non-Spam
24,25.0,Ic. There are a lotta childporn cars then.,Non-Spam
25,26.0,Hi its in durban are you still on this number,Non-Spam
26,27.0,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Non-Spam
27,28.0,U still havent got urself a jacket ah?,Non-Spam
28,29.0,Armand says get your ass over to epsilon,Non-Spam
29,30.0,Yeah it's jus rite...,Non-Spam
31,32.0,Just sleeping..and surfing,Non-Spam
32,33.0,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Non-Spam
34,35.0,Aiyah ok wat as long as got improve can already wat...,Non-Spam
35,36.0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Non-Spam
36,37.0,Ok which your another number,Non-Spam
37,38.0,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Non-Spam
38,39.0,happened here while you were adventuring,Non-Spam
39,40.0,Compliments to you. Was away from the system. How your side.,Non-Spam
40,41.0,I think that tantrum's finished so yeah I'll be by at some point,Non-Spam
41,42.0,What about this one then.,Non-Spam
42,43.0,Its just the effect of irritation. Just ignore it,Non-Spam
43,44.0,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam
45,46.0,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Non-Spam
47,48.0,Going to join tomorrow.,Non-Spam
48,49.0,Thats cool. I want to please you...,Non-Spam
49,50.0,You are a big chic. Common. Declare,Non-Spam
50,51.0,No. I dont want to hear anything,Non-Spam
51,52.0,Can you pls send me that company name. In saibaba colany,Non-Spam
52,53.0,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Non-Spam
53,54.0,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam
54,55.0,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam
55,56.0,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Non-Spam
56,57.0,Oh... Okie lor...We go on sat... ,Non-Spam
57,58.0,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Non-Spam
58,59.0,"Just making dinner, you ?",Non-Spam
59,60.0,"It‘s reassuring, in this crazy world.",Non-Spam
60,61.0,I went to project centre,Non-Spam
61,62.0,Lol they were mad at first but then they woke up and gave in.,Non-Spam
62,63.0,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam
63,64.0,I want to be inside you every night...,Non-Spam
64,65.0,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Non-Spam
65,66.0,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Non-Spam
66,67.0,Wait . I will msg after  &lt;#&gt;  min.,Non-Spam
67,68.0,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Non-Spam
68,69.0,Apo all other are mokka players only,Non-Spam
70,71.0,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Non-Spam
71,72.0,Now get step 2 outta the way. Congrats again.,Non-Spam
72,73.0,Why did I wake up on my own &gt;:(,Non-Spam
74,75.0,Yes... I trust u to buy new stuff ASAP so I can try it out,Non-Spam
75,76.0,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Non-Spam
76,77.0,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Non-Spam
77,78.0,I think if he rule tamilnadu..then its very tough for our people.,Non-Spam
79,80.0,U studying in sch or going home? Anyway i'll b going 2 sch later.,Non-Spam
80,81.0,K. I will sent it again,Non-Spam
81,82.0,Oh thanks a lot..i already bought 2 eggs ..,Non-Spam
82,83.0,K. I will sent it again,Non-Spam
84,85.0,Ofcourse I also upload some songs,Non-Spam
85,86.0,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,Non-Spam
86,87.0,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",Non-Spam
87,88.0,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,Non-Spam
89,90.0,Shall call now dear having food,Non-Spam
90,91.0,Have you seen who's back at Holby?!,Non-Spam
91,92.0,Really do hope the work doesnt get stressful. Have a gr8 day.,Non-Spam
92,93.0,No probably  &lt;#&gt; %.,Non-Spam
93,94.0,What Today-sunday..sunday is holiday..so no work..,Non-Spam
94,95.0,Yes princess! I want to please you every night. Your wish is my command...,Non-Spam
95,96.0,Dhoni have luck to win some big title.so we will win:),Non-Spam
96,97.0,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,Non-Spam
97,98.0,Ok lor ü reaching then message me.,Non-Spam
98,99.0,Well obviously not because all the people in my cool college life went home ;_;,Non-Spam
99,100.0,Yup,Non-Spam
100,101.0,I thought slide is enough.,Non-Spam
101,102.0,Ok lor.,Non-Spam
105,106.0,Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,Non-Spam
106,107.0,I will treasure every moment we spend together...,Non-Spam
107,108.0,U GOIN OUT 2NITE?,Non-Spam
109,110.0,Ok i thk i got it. Then u wan me 2 come now or wat?,Non-Spam
111,112.0,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,Non-Spam
112,113.0,"Sorry, I'll call later",Non-Spam
113,114.0,Arun can u transfr me d amt,Non-Spam
115,116.0,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Non-Spam
116,117.0,Im just wondering what your doing right now?,Non-Spam
117,118.0,Except theres a chick with huge boobs.,Non-Spam
118,119.0,What???? Hello wats talks email address?,Non-Spam
119,120.0,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Non-Spam
120,121.0,Sac needs to carry on:),Non-Spam
122,123.0,"aight we can pick some up, you open before tonight?",Non-Spam
123,124.0,So that takes away some money worries,Non-Spam
124,125.0,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,Non-Spam
125,126.0,"And that's fine, I got enough bud to last most of the night at least",Non-Spam
126,127.0,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Non-Spam
128,129.0,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",Non-Spam
129,130.0,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",Non-Spam
130,131.0,Thank you. do you generally date the brothas?,Non-Spam
131,132.0,Hey i've booked the 2 lessons on sun liao...,Non-Spam
132,133.0,What are youdoing later? Sar xxx,Non-Spam
133,134.0,Am slow in using biola's fne,Non-Spam
134,135.0,Mode men or have you left.,Non-Spam
135,136.0,I'm wif him now buying tix lar...,Non-Spam
136,137.0,Jesus armand really is trying to tell everybody he can find,Non-Spam
137,138.0,You're gonna have to be way more specific than that,Non-Spam
138,139.0,Thanx a lot 4 ur help!,Non-Spam
